"_time","http.http_user_agent","http.protocol","http.http_method"
"2021-03-04T17:35:36.643+0100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","HTTP/1.1",GET
"2021-03-04T17:35:36.633+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:36.619+0100","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","HTTP/1.1",GET
"2021-03-04T17:35:36.605+0100","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","HTTP/1.1",GET
"2021-03-04T17:35:36.596+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:36.588+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:36.585+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:36.568+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:36.567+0100","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","HTTP/1.1",GET
"2021-03-04T17:35:36.565+0100","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","HTTP/1.1",GET
"2021-03-04T17:35:36.546+0100","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","HTTP/1.1",GET
"2021-03-04T17:35:36.543+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:36.525+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
